LR,BS,DR,E,Train_Acc,Train_Loss,Val_Acc,Val_Loss,Test_Acc,Test_Loss
0.0001,32,0.35,30,0.7158565,0.7997776,0.8625000,0.4278293,0.8714286,0.4348346
0.0001,64,0.35,30,0.7233796,0.7554206,0.859375,0.4509774,0.8493590,0.4335192
0.0001,32,0.35,25,0.7349537,0.7525121,0.8437500,0.4337494,0.8321428,0.4280280
0.0001,32,0.35,20,0.6770833,0.8909138,0.7770833,0.6284567,0.7928572,0.5599111
0.0005,32,0.5,20,0.6076389,1.1370802,0.7500000,0.7301731,0.7500000,0.6639102
0.0001,32,0.5,20,0.5283565,1.3164052,0.6604167,0.9532737,0.7000000,0.8705539
0.0005,32,0.35,20,0.2517361,2.0343578,0.2625000,2.0848556,0.7592593,0.6797340


